row,col,val,count
center,center,0.585148976488182,2541381
center,lean_left,0.188750061879265,819767
center,Fake & extreme bias,0.045306213138666,196771
center,left,0.0987243085927562,428773
center,right,0.0536867953678622,233169
center,lean_right,0.0283836445332692,123274
lean_left,center,0.191967139197606,1549720
lean_left,lean_left,0.532458217925786,4298450
lean_left,Fake & extreme bias,0.0403954494329133,326106
lean_left,left,0.187889639829354,1516803
lean_left,right,0.0258741657211093,208878
lean_left,lean_right,0.0214153878932321,172883
Fake & extreme bias,center,0.0941594849292335,1033996
Fake & extreme bias,lean_left,0.0662363543346222,727363
Fake & extreme bias,Fake & extreme bias,0.568153062753988,6239074
Fake & extreme bias,left,0.0171110483378783,187902
Fake & extreme bias,right,0.219217879516554,2407303
Fake & extreme bias,lean_right,0.0351221701277241,385688
left,center,0.146552624095093,569954
left,lean_left,0.242745702447421,944056
left,Fake & extreme bias,0.0753840117210421,293174
left,left,0.508109128291208,1976074
left,right,0.0139166804231547,54123
left,lean_right,0.0132918530220819,51693
right,center,0.124241527884839,253693
right,lean_left,0.0970486803197361,198167
right,Fake & extreme bias,0.206842140833151,422358
right,left,0.0251521351816464,51359
right,right,0.506427729789504,1034092
right,lean_right,0.0402877859911241,82265
lean_right,center,0.0898918111448101,19858
lean_right,lean_left,0.0866416187587705,19140
lean_right,Fake & extreme bias,0.0519351772214929,11473
lean_right,left,0.0374451133945951,8272
lean_right,right,0.0497759268480377,10996
lean_right,lean_right,0.684310352632294,151171
