bias,N_t,p_t,N_u,p_u,Nt_Nu,pt_no,pu_no,Ntno_Nuno
Fake & extreme bias,7570215,0.245971118871996,244971,0.106056958896115,30.9024945809912,0.130531827695779,0.0570557331275947,70.6985762323818
Right news,4032284,0.131016808253088,175519,0.0759886328115868,22.9734900495103,0.107791514684978,0.0622553683646785,39.7772490161984
Right leaning news,1006746,0.0327111502169894,63903,0.0276659598251974,15.7542838364396,0.182829631307202,0.0906530209849303,31.7733471431037
Center news,6322257,0.205422518130107,596951,0.258442050977441,10.5909144971698,0.198531631978896,0.0547699894966254,38.3902125707295
Left leaning news,7491344,0.243408445537546,901885,0.390459198737903,8.30631843305965,0.137393370268406,0.059451038657922,19.1961841172741
Left news,4353999,0.141469958990273,326577,0.141387198751757,13.33222792787,0.138142659196752,0.0702437709942831,26.2193984306888
