bias,N_t,p_t,N_u,p_u,Nt_Nu,pt_no,pu_no,Ntno_Nuno
Fake & extreme bias,7570215,0.245971118871996,244986,0.106063452947997,30.9006024834072,0.130531827695779,0.056880801351914,70.9116612845353
Right news,4032284,0.131016808253088,175445,0.0759565954889718,22.9831799139331,0.107791514684978,0.0625096183989284,39.6321692349777
Right leaning news,1006746,0.0327111502169894,64055,0.0277317662175958,15.7168995394583,0.182829631307202,0.0903910701740692,31.7898100172712
Center news,6322257,0.205422518130107,596776,0.258366287038825,10.5940202018848,0.198531631978896,0.0548095097658083,38.3737809165673
Left leaning news,7491344,0.243408445537546,901643,0.390354428034216,8.30854783988785,0.137393370268406,0.0593926864623803,19.2202013034304
Left news,4353999,0.141469958990273,326901,0.141527470272395,13.3190140134169,0.138142659196752,0.0701894457343355,26.2136848986707
