bias,N_t,p_t,N_u,p_u,Nt_Nu,pt_no,pu_no,Ntno_Nuno
Fake news,4348747,0.0595976996608256,99134,0.0271564436219038,43.8673613492848,0.0125413136243612,0.00659713115580931,83.3929663608563
Extreme bias right,4064820,0.0557066027375971,107090,0.0293358842321471,37.9570454757681,0.0167891813167619,0.00878700158744981,72.5239107332625
Right news,8691901,0.119118749671947,382704,0.104836681661963,22.7118112170241,0.0152165792040199,0.0077631798988252,44.5173342308987
Right leaning news,4648000,0.0636988327956346,287895,0.0788650143898963,16.144775004776,0.017229991394148,0.0118584900745063,23.4578207381371
Center news,7568472,0.103722640371438,398242,0.109093110546071,19.0047056814701,0.0310381012177887,0.0174039905384163,33.8928004616938
Left leaning news,33093267,0.453528933152817,2136823,0.585354301546263,15.4871353406436,0.025259820978086,0.0171399315713094,22.8240273037543
Left news,10513306,0.144080318636691,237718,0.06511969117469,44.2259568059634,0.0278585061635227,0.01644806030675,74.9066496163683
Extreme bias left,39857,0.00054622297304983,872,0.000238872827065387,45.7075688073395,0.0455879770178388,0.0252293577981651,82.5909090909091
