bias,N_t,p_t,N_u,p_u,Nt_Nu,pt_no,pu_no,Ntno_Nuno
Fake news,4348747,0.0595976996608256,99127,0.0271545260648058,43.870459108013,0.0125413136243612,0.00654715667779717,84.035439137134
Extreme bias right,4064820,0.0557066027375971,107165,0.0293564294867686,37.9304810339197,0.0167891813167619,0.00875285774273317,72.7558635394456
Right news,8691901,0.119118749671947,382251,0.10471258832405,22.7387266481971,0.0152165792040199,0.00777237992837167,44.5173342308987
Right leaning news,4648000,0.0636988327956346,287938,0.0788767936692126,16.1423639811348,0.017229991394148,0.0119678541908328,23.2399883923389
Center news,7568472,0.103722640371438,398506,0.109165429842338,18.9921155515852,0.0310381012177887,0.017432610801343,33.8147401756154
Left leaning news,33093267,0.453528933152817,2136945,0.585387721827114,15.4862511669697,0.025259820978086,0.0170940290929341,22.8840099646856
Left news,10513306,0.144080318636691,237684,0.0651103773259283,44.2322831995423,0.0278585061635227,0.0165892529577086,74.2797362414405
Extreme bias left,39857,0.00054622297304983,862,0.000236133459782527,46.2378190255221,0.0455879770178388,0.0243619489559165,86.5238095238095
